Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
85.00 ,108.78 ,370.00 ,163.00 ,28.47 ,60.01 ,20.29 ,0.21 ,
86.00 ,163.39 ,367.00 ,162.00 ,28.61 ,63.39 ,71.40 ,0.53 ,
87.00 ,146.40 ,367.00 ,161.00 ,28.65 ,64.76 ,53.00 ,0.57 ,
88.00 ,107.59 ,367.00 ,161.00 ,28.58 ,57.08 ,21.93 ,0.37 ,
89.00 ,126.77 ,366.00 ,160.00 ,28.73 ,65.66 ,32.38 ,0.89 ,
90.00 ,105.21 ,367.00 ,160.00 ,28.68 ,56.07 ,20.46 ,0.75 ,
91.00 ,107.93 ,367.00 ,162.00 ,28.55 ,54.58 ,24.80 ,0.61 ,
92.00 ,136.28 ,367.00 ,162.00 ,28.27 ,61.96 ,46.05 ,0.45 ,
93.00 ,110.20 ,365.00 ,162.00 ,28.30 ,58.43 ,23.47 ,0.75 ,
94.00 ,108.88 ,362.00 ,160.00 ,28.16 ,60.11 ,20.61 ,0.90 ,
95.00 ,118.77 ,363.00 ,159.00 ,28.14 ,66.60 ,24.02 ,0.33 ,
96.00 ,114.13 ,361.00 ,159.00 ,28.17 ,62.54 ,23.41 ,0.35 ,
97.00 ,113.43 ,363.00 ,156.00 ,28.10 ,65.53 ,19.80 ,0.89 ,
98.00 ,114.32 ,361.00 ,157.00 ,28.11 ,63.68 ,22.54 ,0.50 ,
99.00 ,106.44 ,358.00 ,158.00 ,28.20 ,55.52 ,22.72 ,0.83 ,
100.00 ,118.85 ,359.00 ,157.00 ,28.25 ,68.93 ,21.67 ,0.44 ,
101.00 ,112.11 ,359.00 ,157.00 ,28.25 ,61.17 ,22.68 ,0.13 ,
102.00 ,97.17 ,360.00 ,156.00 ,28.23 ,49.66 ,19.27 ,0.27 ,
103.00 ,116.95 ,359.00 ,156.00 ,28.47 ,65.89 ,22.58 ,0.99 ,
104.00 ,141.12 ,361.00 ,157.00 ,28.36 ,59.60 ,53.15 ,0.49 ,
105.00 ,162.17 ,361.00 ,157.00 ,28.43 ,64.43 ,69.31 ,0.42 ,
106.00 ,158.69 ,361.00 ,157.00 ,28.12 ,65.40 ,65.16 ,0.49 ,
107.00 ,105.82 ,359.00 ,156.00 ,28.17 ,55.96 ,21.69 ,0.67 ,
108.00 ,111.25 ,358.00 ,154.00 ,28.22 ,64.74 ,18.29 ,0.21 ,
109.00 ,106.36 ,359.00 ,154.00 ,28.21 ,56.27 ,21.89 ,0.31 ,
110.00 ,127.62 ,355.00 ,155.00 ,28.30 ,60.51 ,38.82 ,0.70 ,
111.00 ,121.27 ,356.00 ,155.00 ,28.33 ,66.24 ,26.70 ,0.11 ,
112.00 ,96.13 ,356.00 ,155.00 ,28.43 ,44.99 ,22.70 ,0.05 ,
113.00 ,108.14 ,356.00 ,154.00 ,28.31 ,58.63 ,21.21 ,0.29 ,
114.00 ,112.25 ,354.00 ,154.00 ,28.36 ,60.14 ,23.76 ,0.50 ,
115.00 ,114.20 ,355.00 ,153.00 ,28.25 ,63.15 ,22.79 ,0.30 ,
116.00 ,111.30 ,355.00 ,154.00 ,28.29 ,64.57 ,18.44 ,0.49 ,
117.00 ,125.66 ,354.00 ,154.00 ,28.28 ,43.53 ,53.85 ,0.15 ,
118.00 ,103.48 ,351.00 ,153.00 ,28.51 ,57.00 ,17.97 ,0.44 ,
119.00 ,109.73 ,350.00 ,153.00 ,28.72 ,60.22 ,20.79 ,0.78 ,
120.00 ,152.52 ,352.00 ,154.00 ,29.00 ,73.71 ,49.80 ,0.45 ,
121.00 ,127.30 ,352.00 ,153.00 ,29.01 ,67.46 ,30.83 ,0.09 ,
122.00 ,121.80 ,352.00 ,154.00 ,29.68 ,69.54 ,22.58 ,0.94 ,
123.00 ,126.05 ,356.00 ,154.00 ,29.77 ,75.69 ,20.60 ,0.64 ,
124.00 ,110.10 ,351.00 ,154.00 ,28.99 ,57.95 ,23.15 ,0.83 ,
125.00 ,125.01 ,351.00 ,155.00 ,28.28 ,72.50 ,24.23 ,0.67 ,
126.00 ,110.18 ,350.00 ,154.00 ,28.37 ,61.21 ,20.60 ,0.30 ,
127.00 ,126.86 ,349.00 ,154.00 ,28.17 ,46.92 ,51.76 ,0.55 ,
128.00 ,110.52 ,349.00 ,154.00 ,28.24 ,59.03 ,23.25 ,0.25 ,
129.00 ,132.05 ,347.00 ,155.00 ,28.17 ,50.37 ,53.51 ,0.78 ,
130.00 ,106.14 ,348.00 ,153.00 ,27.99 ,61.01 ,17.14 ,0.91 ,
131.00 ,112.11 ,349.00 ,152.00 ,27.99 ,63.44 ,20.68 ,0.53 ,
132.00 ,121.13 ,346.00 ,150.00 ,27.88 ,72.84 ,20.41 ,0.66 ,
133.00 ,159.57 ,350.00 ,151.00 ,27.82 ,68.65 ,63.10 ,0.62 ,
134.00 ,119.49 ,345.00 ,149.00 ,28.01 ,69.43 ,22.05 ,0.60 ,
135.00 ,112.67 ,346.00 ,149.00 ,27.87 ,57.37 ,27.42 ,0.25 ,
136.00 ,106.59 ,346.00 ,149.00 ,28.05 ,58.22 ,20.32 ,0.93 ,
137.00 ,107.21 ,348.00 ,149.00 ,27.96 ,56.72 ,22.54 ,0.32 ,
138.00 ,105.93 ,350.00 ,150.00 ,28.05 ,57.54 ,20.34 ,0.51 ,
139.00 ,148.69 ,346.00 ,148.00 ,27.99 ,49.32 ,71.38 ,0.79 ,
140.00 ,114.78 ,345.00 ,148.00 ,28.00 ,68.02 ,18.75 ,0.78 ,
141.00 ,111.00 ,345.00 ,149.00 ,28.05 ,60.00 ,22.95 ,0.83 ,
142.00 ,106.66 ,344.00 ,150.00 ,28.04 ,57.02 ,21.59 ,0.34 ,
143.00 ,103.11 ,343.00 ,148.00 ,28.01 ,53.92 ,21.17 ,0.45 ,
144.00 ,116.81 ,343.00 ,146.00 ,28.07 ,69.05 ,19.69 ,0.30 ,
145.00 ,106.07 ,345.00 ,147.00 ,28.05 ,54.48 ,23.53 ,0.47 ,
146.00 ,103.52 ,348.00 ,146.00 ,28.24 ,53.39 ,21.89 ,0.93 ,
147.00 ,116.05 ,350.00 ,147.00 ,28.18 ,66.63 ,21.24 ,0.71 ,
148.00 ,97.79 ,347.00 ,148.00 ,28.13 ,50.27 ,19.38 ,0.59 ,
149.00 ,112.41 ,344.00 ,150.00 ,28.22 ,69.75 ,14.44 ,0.84 ,
150.00 ,110.26 ,339.00 ,147.00 ,28.24 ,60.06 ,21.96 ,0.80 ,
151.00 ,132.20 ,341.00 ,147.00 ,28.34 ,47.87 ,55.99 ,0.62 ,
152.00 ,97.56 ,341.00 ,148.00 ,28.40 ,48.22 ,20.93 ,0.70 ,
153.00 ,168.18 ,341.00 ,147.00 ,28.32 ,73.83 ,66.03 ,0.17 ,
154.00 ,108.56 ,338.00 ,147.00 ,28.33 ,59.63 ,20.60 ,0.88 ,
155.00 ,99.69 ,340.00 ,147.00 ,28.27 ,50.07 ,21.34 ,0.70 ,
156.00 ,100.44 ,337.00 ,146.00 ,28.34 ,51.95 ,20.15 ,0.50 ,
157.00 ,152.24 ,338.00 ,146.00 ,28.38 ,61.12 ,62.74 ,0.25 ,
158.00 ,104.70 ,339.00 ,147.00 ,28.27 ,54.18 ,22.25 ,0.51 ,
159.00 ,152.34 ,340.00 ,147.00 ,28.25 ,57.61 ,66.48 ,0.42 ,
160.00 ,117.76 ,339.00 ,147.00 ,28.21 ,70.30 ,19.25 ,0.29 ,
161.00 ,100.89 ,337.00 ,147.00 ,28.26 ,54.53 ,18.10 ,0.28 ,
162.00 ,133.63 ,341.00 ,146.00 ,28.36 ,53.17 ,52.10 ,0.72 ,
163.00 ,156.12 ,341.00 ,147.00 ,28.44 ,65.98 ,61.69 ,0.31 ,
164.00 ,135.21 ,342.00 ,147.00 ,28.59 ,51.72 ,54.90 ,0.38 ,
165.00 ,112.64 ,339.00 ,145.00 ,28.51 ,64.46 ,19.67 ,0.77 ,
166.00 ,131.75 ,340.00 ,145.00 ,28.57 ,66.77 ,36.42 ,0.26 ,
167.00 ,111.65 ,340.00 ,145.00 ,28.65 ,65.64 ,17.37 ,0.30 ,
168.00 ,105.83 ,338.00 ,144.00 ,28.51 ,56.13 ,21.18 ,0.47 ,
169.00 ,156.00 ,334.00 ,145.00 ,28.97 ,63.21 ,63.82 ,0.71 ,
170.00 ,104.86 ,336.00 ,142.00 ,29.69 ,53.51 ,21.67 ,0.66 ,
171.00 ,167.56 ,336.00 ,142.00 ,29.64 ,68.22 ,69.70 ,0.03 ,
172.00 ,123.48 ,335.00 ,142.00 ,29.76 ,56.80 ,36.92 ,0.35 ,
173.00 ,113.80 ,335.00 ,142.00 ,29.79 ,61.31 ,22.70 ,0.36 ,
174.00 ,115.29 ,334.00 ,142.00 ,29.72 ,66.83 ,18.74 ,0.38 ,
175.00 ,111.42 ,336.00 ,142.00 ,29.69 ,62.92 ,18.81 ,0.22 ,
