Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
69.00 ,129.47 ,360.00 ,137.00 ,134.00 ,221.00 ,28.82 ,68.83 ,31.82 ,0.34 
70.00 ,113.10 ,359.00 ,137.00 ,133.00 ,222.00 ,28.98 ,60.30 ,23.82 ,0.27 
71.00 ,115.75 ,357.00 ,136.00 ,135.00 ,222.00 ,28.44 ,61.56 ,25.75 ,0.27 
72.00 ,118.58 ,355.00 ,137.00 ,133.00 ,220.00 ,28.84 ,59.58 ,30.16 ,0.38 
73.00 ,120.05 ,356.00 ,138.00 ,131.00 ,218.00 ,28.88 ,69.78 ,21.39 ,0.27 
74.00 ,109.47 ,352.00 ,135.00 ,133.00 ,215.00 ,28.85 ,54.90 ,25.73 ,0.48 
75.00 ,137.91 ,352.00 ,134.00 ,135.00 ,216.00 ,28.88 ,61.75 ,47.28 ,0.46 
76.00 ,114.54 ,352.00 ,131.00 ,135.00 ,211.00 ,28.21 ,65.35 ,20.98 ,0.66 
77.00 ,130.51 ,356.00 ,131.00 ,132.00 ,212.00 ,28.25 ,50.25 ,52.00 ,0.56 
78.00 ,111.72 ,358.00 ,128.00 ,131.00 ,212.00 ,28.55 ,61.71 ,21.46 ,0.52 
79.00 ,99.95 ,358.00 ,128.00 ,131.00 ,212.00 ,28.48 ,51.17 ,20.31 ,0.28 
80.00 ,93.61 ,356.00 ,128.00 ,130.00 ,213.00 ,28.97 ,43.76 ,20.88 ,0.30 
81.00 ,111.03 ,358.00 ,127.00 ,130.00 ,215.00 ,28.84 ,63.07 ,19.12 ,0.52 
82.00 ,109.40 ,359.00 ,127.00 ,131.00 ,214.00 ,28.76 ,60.51 ,20.12 ,0.21 
83.00 ,113.82 ,353.00 ,127.00 ,131.00 ,213.00 ,28.82 ,62.86 ,22.14 ,0.43 
84.00 ,140.45 ,355.00 ,126.00 ,131.00 ,213.00 ,28.31 ,64.87 ,47.27 ,0.38 
85.00 ,117.68 ,350.00 ,127.00 ,129.00 ,211.00 ,28.23 ,60.53 ,28.92 ,0.58 
86.00 ,118.79 ,348.00 ,126.00 ,130.00 ,210.00 ,28.92 ,67.44 ,22.43 ,0.38 
87.00 ,101.37 ,348.00 ,124.00 ,130.00 ,209.00 ,28.48 ,54.39 ,18.50 ,0.64 
88.00 ,104.08 ,346.00 ,124.00 ,129.00 ,207.00 ,28.87 ,56.62 ,18.58 ,0.52 
89.00 ,104.04 ,347.00 ,123.00 ,129.00 ,207.00 ,28.89 ,53.59 ,21.56 ,0.10 
90.00 ,115.48 ,347.00 ,123.00 ,129.00 ,209.00 ,28.50 ,63.37 ,23.62 ,0.48 
91.00 ,150.21 ,348.00 ,123.00 ,129.00 ,207.00 ,28.92 ,60.89 ,60.40 ,0.41 
92.00 ,105.85 ,348.00 ,120.00 ,132.00 ,208.00 ,28.19 ,54.05 ,23.62 ,0.61 
93.00 ,109.30 ,348.00 ,120.00 ,132.00 ,207.00 ,28.21 ,60.47 ,20.62 ,0.04 
94.00 ,105.04 ,346.00 ,121.00 ,132.00 ,207.00 ,28.22 ,52.66 ,24.15 ,0.38 
95.00 ,115.45 ,345.00 ,120.00 ,132.00 ,207.00 ,28.38 ,60.63 ,26.45 ,0.28 
96.00 ,160.12 ,346.00 ,121.00 ,131.00 ,207.00 ,28.21 ,67.68 ,64.24 ,0.22 
97.00 ,153.80 ,347.00 ,122.00 ,131.00 ,206.00 ,28.21 ,56.11 ,69.48 ,0.22 
98.00 ,113.81 ,347.00 ,123.00 ,131.00 ,205.00 ,28.13 ,62.62 ,23.06 ,0.15 
99.00 ,112.50 ,345.00 ,122.00 ,131.00 ,206.00 ,28.16 ,65.39 ,18.95 ,0.27 
100.00 ,119.24 ,346.00 ,122.00 ,131.00 ,205.00 ,28.13 ,59.23 ,31.88 ,0.14 
101.00 ,113.41 ,344.00 ,121.00 ,130.00 ,205.00 ,28.32 ,63.02 ,22.07 ,0.17 
102.00 ,157.85 ,347.00 ,121.00 ,130.00 ,206.00 ,28.13 ,70.21 ,59.50 ,0.31 
103.00 ,98.75 ,345.00 ,122.00 ,130.00 ,206.00 ,28.21 ,51.35 ,19.20 ,0.43 
104.00 ,129.01 ,344.00 ,122.00 ,131.00 ,206.00 ,28.18 ,50.84 ,49.98 ,0.24 
105.00 ,120.27 ,344.00 ,121.00 ,131.00 ,207.00 ,28.32 ,66.02 ,25.93 ,0.36 
106.00 ,112.49 ,343.00 ,120.00 ,130.00 ,208.00 ,28.09 ,63.77 ,20.63 ,0.56 
107.00 ,123.71 ,342.00 ,121.00 ,131.00 ,208.00 ,28.00 ,73.34 ,22.37 ,0.24 
108.00 ,106.11 ,344.00 ,120.00 ,128.00 ,209.00 ,27.89 ,57.30 ,20.92 ,0.39 
109.00 ,122.64 ,344.00 ,122.00 ,129.00 ,209.00 ,27.95 ,69.66 ,25.03 ,0.40 
110.00 ,109.87 ,343.00 ,122.00 ,128.00 ,210.00 ,28.05 ,61.04 ,20.78 ,0.24 
111.00 ,111.34 ,344.00 ,122.00 ,129.00 ,210.00 ,28.28 ,60.12 ,22.94 ,0.35 
112.00 ,103.58 ,343.00 ,123.00 ,128.00 ,211.00 ,28.72 ,53.90 ,20.96 ,0.23 
113.00 ,108.05 ,344.00 ,124.00 ,128.00 ,211.00 ,28.06 ,56.37 ,23.63 ,0.33 
114.00 ,113.34 ,340.00 ,124.00 ,128.00 ,208.00 ,28.28 ,63.28 ,21.77 ,0.51 
115.00 ,113.38 ,340.00 ,123.00 ,128.00 ,208.00 ,28.69 ,60.63 ,24.06 ,0.28 
116.00 ,135.44 ,340.00 ,123.00 ,127.00 ,208.00 ,28.68 ,60.17 ,46.59 ,0.28 
117.00 ,111.54 ,336.00 ,122.00 ,127.00 ,207.00 ,28.75 ,63.81 ,18.98 ,0.53 
118.00 ,152.97 ,337.00 ,123.00 ,127.00 ,206.00 ,28.68 ,75.39 ,48.89 ,0.22 
119.00 ,149.32 ,335.00 ,123.00 ,126.00 ,206.00 ,28.70 ,75.00 ,45.63 ,0.35 
120.00 ,106.95 ,335.00 ,123.00 ,126.00 ,207.00 ,28.73 ,58.07 ,20.16 ,0.25 
121.00 ,103.70 ,333.00 ,123.00 ,125.00 ,206.00 ,28.67 ,55.32 ,19.71 ,0.32 
122.00 ,115.79 ,331.00 ,122.00 ,124.00 ,206.00 ,28.67 ,61.49 ,25.62 ,0.24 
123.00 ,102.84 ,333.00 ,124.00 ,124.00 ,203.00 ,28.80 ,55.04 ,19.00 ,0.59 
124.00 ,156.36 ,335.00 ,123.00 ,125.00 ,203.00 ,28.38 ,60.75 ,67.23 ,0.42 
125.00 ,110.27 ,339.00 ,123.00 ,126.00 ,201.00 ,28.36 ,61.29 ,20.61 ,0.39 
126.00 ,150.12 ,339.00 ,123.00 ,125.00 ,201.00 ,28.38 ,53.95 ,67.79 ,0.25 
127.00 ,119.96 ,341.00 ,124.00 ,125.00 ,199.00 ,28.81 ,67.27 ,23.88 ,0.35 
128.00 ,118.49 ,336.00 ,123.00 ,124.00 ,200.00 ,28.75 ,67.96 ,21.77 ,0.51 
129.00 ,100.20 ,335.00 ,122.00 ,125.00 ,199.00 ,28.80 ,52.39 ,19.02 ,0.29 
130.00 ,111.58 ,333.00 ,120.00 ,125.00 ,199.00 ,28.80 ,58.50 ,24.28 ,0.42 
131.00 ,145.69 ,331.00 ,120.00 ,125.00 ,199.00 ,28.70 ,65.75 ,51.24 ,0.54 
132.00 ,121.76 ,331.00 ,120.00 ,126.00 ,199.00 ,28.20 ,71.54 ,22.02 ,0.47 
133.00 ,141.60 ,332.00 ,119.00 ,126.00 ,200.00 ,28.24 ,59.27 ,54.08 ,0.30 
134.00 ,100.84 ,331.00 ,120.00 ,125.00 ,200.00 ,28.94 ,50.21 ,21.69 ,0.39 
135.00 ,114.74 ,333.00 ,120.00 ,125.00 ,200.00 ,28.50 ,62.56 ,23.67 ,0.23 
136.00 ,115.93 ,329.00 ,120.00 ,125.00 ,199.00 ,28.45 ,63.05 ,24.43 ,0.40 
137.00 ,108.70 ,329.00 ,119.00 ,125.00 ,198.00 ,28.83 ,56.95 ,22.91 ,0.31 
138.00 ,105.09 ,332.00 ,120.00 ,125.00 ,197.00 ,28.37 ,57.81 ,18.91 ,0.27 
139.00 ,115.38 ,333.00 ,121.00 ,125.00 ,198.00 ,28.38 ,64.98 ,22.01 ,0.17 
140.00 ,112.47 ,330.00 ,119.00 ,127.00 ,198.00 ,28.74 ,63.64 ,20.09 ,0.64 
141.00 ,138.43 ,329.00 ,120.00 ,126.00 ,197.00 ,28.74 ,60.87 ,48.82 ,0.34 
142.00 ,108.35 ,331.00 ,119.00 ,124.00 ,197.00 ,28.29 ,61.59 ,18.46 ,0.30 
143.00 ,105.71 ,328.00 ,120.00 ,125.00 ,197.00 ,28.29 ,55.02 ,22.40 ,0.43 
144.00 ,105.90 ,328.00 ,120.00 ,125.00 ,196.00 ,28.32 ,56.52 ,21.06 ,0.24 
145.00 ,108.52 ,329.00 ,119.00 ,124.00 ,194.00 ,28.13 ,61.51 ,18.88 ,0.58 
146.00 ,156.56 ,329.00 ,119.00 ,124.00 ,194.00 ,28.13 ,72.94 ,55.48 ,0.08 
147.00 ,128.59 ,329.00 ,117.00 ,123.00 ,192.00 ,28.13 ,51.35 ,49.11 ,0.36 
148.00 ,147.51 ,329.00 ,117.00 ,123.00 ,194.00 ,28.38 ,54.97 ,64.17 ,0.26 
149.00 ,110.15 ,329.00 ,116.00 ,123.00 ,195.00 ,28.15 ,61.68 ,20.31 ,0.45 
150.00 ,87.59 ,327.00 ,116.00 ,124.00 ,194.00 ,28.33 ,37.89 ,21.38 ,0.28 
151.00 ,104.31 ,326.00 ,117.00 ,125.00 ,194.00 ,28.12 ,56.40 ,19.79 ,0.30 
152.00 ,140.21 ,326.00 ,117.00 ,124.00 ,192.00 ,28.13 ,62.42 ,49.65 ,0.49 
153.00 ,109.59 ,326.00 ,118.00 ,124.00 ,193.00 ,28.14 ,60.92 ,20.53 ,0.29 
154.00 ,147.11 ,325.00 ,118.00 ,124.00 ,193.00 ,28.00 ,54.14 ,64.97 ,0.28 
155.00 ,102.57 ,324.00 ,119.00 ,124.00 ,192.00 ,27.98 ,48.83 ,25.76 ,0.46 
156.00 ,111.89 ,322.00 ,117.00 ,122.00 ,190.00 ,27.94 ,57.90 ,26.05 ,0.52 
157.00 ,141.10 ,319.00 ,117.00 ,122.00 ,189.00 ,27.94 ,47.40 ,65.75 ,0.32 
158.00 ,102.15 ,320.00 ,116.00 ,121.00 ,189.00 ,27.95 ,54.80 ,19.41 ,0.36 
159.00 ,104.77 ,321.00 ,115.00 ,123.00 ,188.00 ,27.92 ,53.23 ,23.62 ,0.44 
160.00 ,103.01 ,322.00 ,116.00 ,123.00 ,188.00 ,27.87 ,53.76 ,21.38 ,0.15 
161.00 ,141.66 ,320.00 ,116.00 ,123.00 ,189.00 ,27.93 ,54.37 ,59.35 ,0.28 
162.00 ,128.71 ,322.00 ,116.00 ,123.00 ,188.00 ,28.02 ,42.74 ,57.94 ,0.43 
163.00 ,108.81 ,321.00 ,116.00 ,124.00 ,189.00 ,28.02 ,56.57 ,24.22 ,0.30 
164.00 ,108.01 ,321.00 ,117.00 ,124.00 ,188.00 ,28.02 ,60.73 ,19.25 ,0.43 
165.00 ,117.33 ,318.00 ,117.00 ,122.00 ,187.00 ,28.09 ,64.92 ,24.32 ,0.38 
166.00 ,100.51 ,319.00 ,116.00 ,121.00 ,185.00 ,28.16 ,52.39 ,19.96 ,0.43 
167.00 ,105.57 ,321.00 ,117.00 ,122.00 ,185.00 ,28.07 ,55.40 ,22.10 ,0.53 
168.00 ,118.01 ,322.00 ,118.00 ,123.00 ,185.00 ,27.99 ,66.10 ,23.92 ,0.29 
169.00 ,110.91 ,321.00 ,117.00 ,124.00 ,187.00 ,27.96 ,60.13 ,22.81 ,0.61 
170.00 ,134.49 ,318.00 ,116.00 ,121.00 ,188.00 ,27.90 ,44.31 ,62.28 ,0.55 
171.00 ,108.44 ,320.00 ,115.00 ,122.00 ,185.00 ,27.95 ,57.71 ,22.78 ,0.52 
172.00 ,96.59 ,320.00 ,115.00 ,122.00 ,186.00 ,28.00 ,46.68 ,21.91 ,0.19 
173.00 ,108.67 ,321.00 ,114.00 ,122.00 ,184.00 ,28.07 ,52.62 ,27.97 ,0.34 
174.00 ,106.30 ,322.00 ,114.00 ,122.00 ,185.00 ,28.06 ,59.32 ,18.92 ,0.27 
175.00 ,122.44 ,321.00 ,114.00 ,122.00 ,184.00 ,28.19 ,72.96 ,21.29 ,0.26 
176.00 ,115.37 ,322.00 ,114.00 ,122.00 ,185.00 ,28.18 ,64.65 ,22.54 ,0.31 
177.00 ,96.00 ,319.00 ,113.00 ,122.00 ,185.00 ,28.06 ,45.96 ,21.97 ,0.29 
178.00 ,126.25 ,319.00 ,113.00 ,122.00 ,186.00 ,28.00 ,70.91 ,27.34 ,0.39 
