Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
11993,168.51,41,23,31,22,44.62,68.8,55.09,0.33,95
11994,142.9,41,23,31,22,44.6,73.21,25.08,0.35,95
11995,176.19,41,23,31,22,44.61,56.53,75.05,0.4,95
11996,140.29,41,23,31,22,44.59,62.46,33.24,0.45,95
11997,137.65,41,23,31,22,44.6,69.42,23.63,0.2,95
11998,152.16,41,23,31,22,44.6,74.21,33.34,0.2,95
11999,127.23,41,23,31,22,44.59,56.48,26.16,0.34,95
12000,132.7,41,23,31,22,44.55,61.85,26.3,0.18,95
12001,185.36,41,23,31,22,44.59,67.13,73.63,0.73,95
12002,189.56,41,23,31,22,44.58,68.81,76.17,0.44,95
12003,140.29,41,23,31,22,44.62,66.35,29.31,0.18,95
12004,136.17,41,23,31,22,44.55,67.66,23.96,0.36,95
12005,192.4,41,23,31,22,44.59,72.73,75.08,0.19,95
12006,143.48,41,23,31,22,44.56,72.44,26.48,0.5,95
12007,173.18,41,23,31,22,44.58,57.66,70.94,0.29,95
12008,134.31,41,23,31,22,44.66,64.52,25.13,0.47,95
12009,140.76,41,23,31,22,44.59,70.15,26.01,0.34,95
12010,142.59,41,23,31,22,44.66,67.8,30.12,0.49,95
12011,146.59,41,23,31,22,44.56,73.72,28.3,0.34,95
12012,136.71,41,23,31,22,44.54,68.35,23.83,0.25,95
12013,144.9,41,23,31,22,44.64,72.2,28.06,0.38,95
12014,137.35,41,23,31,22,44.58,66.11,26.66,0.51,95
12015,142.13,41,23,31,22,44.54,65.72,31.87,0.35,95
12016,140.79,41,23,31,22,44.59,69.26,26.95,0.29,95
12017,152.79,41,23,31,22,44.57,81.75,26.47,0.19,95
12018,168.2,41,23,31,22,44.46,63.14,60.6,0.22,95
12019,184.2,41,23,31,22,44.65,70.29,69.25,0.21,95
12020,146.92,41,23,31,22,44.55,69.68,32.69,0.41,95
12021,145.92,41,23,31,22,44.57,69.35,32,0.21,95
12022,122.34,41,23,31,22,44.52,48.71,29.11,0.35,95
12023,137.73,41,23,31,22,44.6,64.64,28.49,0.17,95
12024,140.92,41,23,31,22,44.62,66.02,30.28,0.17,95
12025,150.46,41,23,31,22,44.53,78.57,27.35,0.34,95
12026,137.46,41,23,31,22,44.6,64.52,28.34,0.07,95
12027,142.1,41,23,31,22,44.67,69.22,28.21,0.29,95
12028,132.97,41,23,31,22,44.56,62.42,25.99,0.47,95
12029,144.63,41,23,31,22,44.54,60.94,39.15,0.25,95
12030,149.3,41,23,31,22,44.57,76.49,28.24,0.41,95
12031,133.89,41,23,31,22,44.56,64.64,24.69,0.26,95
12032,189.01,41,23,31,22,44.59,75.03,69.39,0.27,95
12033,146.42,41,23,31,22,44.46,73.66,28.31,0.12,95
12034,140.65,41,23,31,22,44.6,64.36,31.7,0.46,95
12035,139.5,41,23,31,22,44.54,64.24,30.71,0.16,95
12036,139.43,41,23,31,22,44.62,68.15,26.66,0.36,95
12037,143.62,41,23,31,22,44.68,70.28,28.67,0.12,95
12038,133.62,41,23,31,22,44.53,60.82,28.26,0.32,95
12039,133.46,41,23,31,22,44.58,59.42,29.46,0.28,95
12040,146.73,41,23,31,22,44.49,76.01,26.23,0.36,95
12041,139.28,41,23,31,22,44.61,66.23,28.45,0.36,95
12042,140.43,41,23,31,22,44.67,64.66,31.1,0.25,95
12043,140.36,41,23,31,22,44.57,66.89,28.9,0.31,95
12044,161.55,41,23,31,22,44.58,69.36,47.6,0.13,95
12045,188.02,41,23,31,22,44.56,67.15,76.31,0.22,95
12046,143.69,41,23,31,22,44.57,73.23,25.89,0.24,95
12047,136.56,41,23,31,22,44.53,68.45,23.58,0.43,95
12048,156.17,41,23,31,22,44.53,81.53,30.1,0.26,95
12049,138.72,41,23,31,22,44.57,61.69,32.45,0.27,95
12050,128.85,41,23,31,22,44.55,60.68,23.62,0.3,95
12051,134.6,41,23,31,22,44.64,62,27.96,0.38,95
12052,135.23,41,23,31,22,44.53,60.76,29.93,0.5,95
12053,138.3,41,23,31,22,44.54,66.84,26.92,0.23,95
12054,136.99,41,23,31,22,44.55,62.78,29.66,0.47,95
12055,139.9,41,23,31,22,44.64,69.53,25.73,0.15,95
12056,139.26,41,23,31,22,44.56,69.54,25.17,0.35,95
12057,185.09,41,23,31,22,44.58,72.06,68.45,0.73,95
12058,155.82,41,23,31,22,44.54,84.2,27.09,0.1,95
12059,152.51,41,23,31,22,44.61,53.84,54.07,0.21,95
12060,131.02,41,23,31,22,44.59,56.08,30.35,0.3,95
12061,166.9,41,23,31,22,44.66,63.23,59.01,0.46,95
12062,145.92,41,23,31,22,44.64,70.91,30.37,0.57,95
12063,137.29,41,23,31,22,44.63,62.36,30.3,0.29,95
12064,153.61,41,23,31,22,44.71,81.99,26.91,0.41,95
12065,140.03,41,23,31,22,44.66,67.75,27.62,0.1,95
12066,141.06,41,23,31,22,44.66,69.69,26.71,0.36,95
12067,137.97,41,23,31,22,44.67,65.31,27.99,0.54,95
12068,137.89,41,23,31,22,44.62,62.87,30.39,0.43,95
12069,142.19,41,23,31,22,44.63,71.49,26.08,0.22,95
12070,140.57,41,23,31,22,44.63,69.48,26.46,0.06,95
12071,129.34,41,23,31,22,44.67,56.73,27.94,0.54,95
12072,146.56,41,23,31,22,44.6,73.92,28.03,0.62,95
12073,137.94,41,23,31,22,44.71,70.7,22.53,0.34,95
12074,131.76,41,23,31,22,44.65,54.2,32.91,0.21,95
12075,132.92,41,23,31,22,44.65,60.18,28.09,0.19,95
12076,144.03,41,23,31,22,44.66,67.29,32.08,0.5,95
12077,136.11,41,23,31,22,44.65,65.3,26.16,0.41,95
12078,144.93,41,23,31,22,44.67,72.68,27.57,0.29,95
12079,137.16,41,23,31,22,44.56,63.72,28.88,0.13,95
12080,142.22,41,23,31,22,44.71,67.93,29.58,0.34,95
12081,133.77,41,23,31,22,44.72,63.41,25.64,0.59,95
12082,182.43,41,23,31,22,44.63,65.84,71.96,0.21,95
12083,140.52,41,23,31,22,44.64,67.13,28.75,0.45,95
12084,176.66,41,23,31,22,44.7,62.2,69.77,0.34,95
12085,144.82,41,23,31,22,44.62,73.66,26.54,0.16,95
12086,139.53,41,23,31,22,44.64,67.56,27.33,0.36,95
12087,142.99,41,23,31,22,44.76,74.81,23.42,0.25,95
12088,137.5,41,23,31,22,44.68,61.77,31.06,0.39,95
12089,145.06,41,23,31,22,44.69,71.65,28.71,0.42,95
12090,141.51,41,23,31,22,44.63,69.99,26.89,0.31,95
12091,144.59,41,23,31,22,44.78,69.9,29.91,0.3,95
12092,171.03,41,23,31,22,44.7,59.14,67.19,0.15,95
12093,165.28,41,23,31,22,44.67,63.19,57.42,0.21,95
12094,145.45,41,23,31,22,44.56,72,28.89,0.31,95
12095,148.27,41,23,31,22,44.7,75.33,28.24,0.45,95
12096,145.02,41,23,31,22,44.61,67.26,33.16,0.39,95
12097,139.07,41,23,31,22,44.5,69.36,25.21,0.59,95
12098,168.76,41,23,31,22,44.55,55.23,68.98,0.33,95
12099,148.42,41,23,31,22,44.61,72.75,31.06,0.54,95
12100,180.38,41,23,31,22,44.56,68.33,67.49,0.19,95
12101,143.91,41,23,31,22,44.59,71.98,27.34,0.18,95
12102,146.65,41,23,31,22,44.56,74.58,27.51,0.21,95
12103,139.65,41,23,31,22,44.63,64.46,30.56,0.19,95
12104,155.49,41,23,31,22,44.61,58.94,51.94,0.46,95
12105,192.78,41,23,31,22,44.67,76.45,71.66,0.34,95
12106,155.96,41,23,31,22,44.64,85.84,25.47,0.53,95
12107,149.92,41,23,31,22,44.61,78.51,26.8,0.43,95
12108,178.91,41,23,31,22,44.68,76.29,57.94,0.09,95
12109,143.49,41,23,31,22,44.68,68.79,30.03,0.55,95
12110,158.05,41,23,31,22,44.67,83.17,30.21,0.18,95
12111,149.42,41,23,31,22,44.68,81.06,23.68,0.25,95
12112,183.14,41,23,31,22,44.71,77.1,61.32,0.25,95
12113,140.23,41,23,31,22,44.68,69.75,25.8,0.41,95
12114,144.44,41,23,31,22,44.68,74.39,25.37,0.39,95
12115,139.5,41,23,31,22,44.65,69.38,25.47,0.37,95
12116,150.3,41,23,31,22,44.67,72.33,33.3,0.23,95
12117,143.84,41,23,31,22,44.62,70.13,29.09,0.48,95
12118,139.45,41,23,31,22,44.67,69.9,24.88,0.25,95
12119,139.21,41,23,31,22,44.69,65.68,28.85,0.62,95
12120,183.69,41,23,31,22,44.67,70.23,68.79,0.14,95
12121,173.69,41,23,31,22,44.72,66.63,62.33,0.46,95
12122,177.54,41,23,31,22,44.61,68.6,64.33,0.24,95
12123,181.26,41,23,31,22,44.6,75.1,61.56,0.25,95
12124,138.18,41,23,31,22,44.69,63.24,30.25,0.38,95
12125,129.21,41,23,31,22,44.59,58.06,26.56,0.28,95
12126,147.36,41,23,31,22,44.57,77.48,25.32,0.38,95
12127,133.46,41,23,31,22,44.75,63.67,25.03,0.36,95
12128,148.73,41,23,31,22,44.67,74.83,29.23,0.35,95
12129,173.54,41,23,31,22,44.63,77.12,51.79,0.4,95
12130,140.69,41,23,31,22,44.65,67.6,28.44,0.35,95
12131,146.44,41,23,31,22,44.72,67.79,33.94,0.39,95
12132,147.14,41,23,31,22,44.7,69.71,32.73,0.48,95
12133,147.86,41,23,31,22,44.67,72.19,31,0.29,95
12134,140.58,41,23,31,22,44.7,65.97,29.91,0.26,95
12135,165.24,41,23,31,22,44.65,63.47,57.12,0.36,95
12136,141.73,41,23,31,22,44.6,70.58,26.56,0.26,95
12137,129.61,41,23,31,22,44.7,62.46,22.44,0.41,95
12138,142.44,41,23,31,22,44.72,67.1,30.62,0.33,95
12139,140.3,41,23,31,22,44.67,66.24,29.39,0.26,95
12140,144.45,41,23,31,22,44.65,72,27.81,0.72,95
12141,150.49,41,23,31,22,44.64,76.31,29.54,0.35,95
12142,140.07,41,23,31,22,44.6,70.7,24.78,0.43,95
12143,145.8,41,23,31,22,44.63,73.96,27.21,0.59,95
12144,190.44,41,23,31,22,44.72,72.52,73.2,0.35,95
12145,141.65,41,23,31,22,44.71,66.17,30.78,0.4,95
12146,144.01,41,23,31,22,44.64,67.02,32.35,0.17,95
12147,201.18,41,23,31,22,44.68,82.11,74.39,0.36,95
12148,173.35,41,23,31,22,44.72,65.41,63.23,0.28,95
12149,180.12,41,23,31,22,44.61,77.74,57.77,0.36,95
12150,137.39,41,23,31,22,44.68,63.64,29.06,0.28,95
12151,134.55,41,23,31,22,44.63,63.35,26.57,0.25,95
12152,141.61,41,23,31,22,44.65,68.2,28.76,0.55,95
12153,166.88,41,23,31,22,44.64,67.17,55.07,0.22,95
12154,127.94,41,23,31,22,44.61,58.29,25.03,0.25,95
12155,147.1,41,23,31,22,44.73,75.56,26.82,0.09,95
12156,129.36,41,23,31,22,44.62,61.22,23.52,0.33,95
12157,191.3,41,23,31,22,44.71,72.63,73.97,0.32,95
12158,160.83,41,23,31,22,44.72,62.52,53.59,0.12,95
12159,142.03,41,23,31,22,44.57,71.62,25.85,0.25,95
12160,188.94,41,23,31,22,44.61,70.34,73.99,0.07,95
12161,136.94,41,23,31,22,44.59,69.28,23.06,0.24,95
12162,149.69,41,23,31,22,44.71,74.46,30.52,0.29,95
12163,174.49,41,23,31,22,44.69,56.69,73.11,0.26,95
12164,134.41,41,23,31,22,44.79,61.74,27.87,0.34,95
12165,145.9,41,23,31,22,44.74,71.44,29.73,0.3,95
12166,185.6,41,23,31,22,44.65,66.33,74.63,0.18,95
12167,134.5,41,23,31,22,44.68,65.12,24.7,0.3,95
12168,176.76,41,23,31,22,44.69,67.03,65.04,0.31,95
12169,148.89,41,23,31,22,44.71,75.86,28.33,0.52,95
12170,145.7,41,23,31,22,44.68,72.49,28.54,0.34,95
12171,134.06,41,23,31,22,44.75,63.11,26.2,0.52,95
12172,142.41,41,23,31,22,44.68,66.3,31.43,0.52,95
12173,141.22,41,23,31,22,44.66,66.72,29.84,0.33,95
12174,180.18,41,23,31,22,44.67,75.2,60.32,0.31,95
12175,180.25,41,23,31,22,44.66,109.63,25.96,0.12,95
12176,133.52,41,23,31,22,44.55,60.17,28.8,0.26,95
12177,133.97,41,23,31,22,44.65,61.77,27.54,0.24,95
12178,144.29,41,23,31,22,44.71,73.07,26.51,0.42,95
12179,145.52,41,23,31,22,44.72,75.17,25.63,0.34,95
12180,192.48,41,23,31,22,44.66,71.59,76.23,0.19,95
12181,183.81,41,23,31,22,44.62,66.51,72.68,0.32,95
12182,133.7,41,23,31,22,44.59,61.06,28.04,0.38,95
12183,138.25,41,23,31,22,44.72,66.56,26.97,0.27,95
12184,141.42,41,23,31,22,44.63,68.06,28.74,0.35,95
12185,136.71,41,23,31,22,44.76,66.64,25.32,0.26,95
12186,138.12,41,23,31,22,44.66,68.16,25.3,0.38,95
12187,165.08,41,23,31,22,44.66,69.13,51.3,0.48,95
12188,148,41,23,31,22,44.7,77.43,25.87,0.24,95
12189,167.71,41,23,31,22,44.7,70.16,52.85,0.53,95
12190,148.23,41,23,31,22,44.71,76,27.51,0.3,95
12191,129.87,41,23,31,22,44.64,55.23,29.99,0.38,95
12192,161.69,41,23,31,22,44.63,68.8,48.25,0.12,95
12193,127.91,41,23,31,22,44.68,56.67,26.56,0.37,95
12194,143.77,41,23,31,22,44.65,66.91,32.21,0.18,95
12195,140.46,41,23,31,22,44.64,61.19,34.63,0.51,95
12196,152.08,41,23,31,22,44.65,78.69,28.74,0.53,95
12197,144.43,41,23,31,22,44.73,76.29,23.41,0.42,95
12198,139.11,41,23,31,22,44.64,69.68,24.79,0.45,95
12199,140.03,41,23,31,22,44.71,71.62,23.7,0.32,95
12200,140.8,41,23,31,22,44.64,70.54,25.62,0.56,95
12201,192.28,41,23,31,22,44.66,74.61,73.01,0.07,95
12202,151.41,41,23,31,22,44.66,75.89,30.86,0.54,95
12203,145.09,41,23,31,22,44.64,70.19,30.25,0.31,95
12204,147.52,41,23,31,22,44.61,72.83,30.08,0.41,95
12205,141.78,41,23,31,22,44.67,70.17,26.95,0.28,95
12206,135.21,41,23,31,22,44.63,63.63,26.96,0.34,95
12207,138.78,41,23,31,22,44.58,65.77,28.43,0.34,95
12208,171.4,41,23,31,22,44.68,62.87,63.85,0.49,95
12209,144.56,41,23,31,22,44.64,73.64,26.28,0.2,95
12210,143.04,41,23,31,22,44.65,70.78,27.6,0.4,95
12211,167.81,41,23,31,22,44.64,79.58,43.59,0.51,95
12212,138.15,41,23,31,22,44.62,63.38,30.15,0.44,95
12213,138.85,41,23,31,22,44.61,71.25,22.99,0.29,95
12214,146.71,41,23,31,22,44.64,64.98,37.09,0.22,95
12215,142.82,41,23,31,22,44.61,70.46,27.75,0.5,95
12216,135.51,41,23,31,22,44.7,63.17,27.64,0.17,95
12217,137.25,41,23,31,22,44.7,60.91,31.64,0.32,95
12218,169.38,41,23,31,22,44.63,73.67,51.08,0.34,95
12219,133.02,41,23,31,22,44.72,60.73,27.57,0.33,95
12220,149.45,41,23,31,22,44.63,79.22,25.6,0.09,95
12221,155.05,41,23,31,22,44.71,66.73,43.61,0.57,95
12222,158.56,41,23,31,22,44.65,83.27,30.63,0.25,95
12223,135.91,41,23,31,22,44.72,64.35,26.85,0.4,95
12224,135.11,41,23,31,22,44.67,62.44,27.99,0.21,95
12225,173.45,41,23,31,22,44.67,68.29,60.49,0.5,95
12226,164.45,41,23,31,22,44.6,68.1,51.75,0.38,95
12227,144.28,41,23,31,22,44.77,67.75,31.77,0.12,95
12228,146.87,41,23,31,22,44.64,68.78,33.45,0.39,95
12229,144.35,41,23,31,22,44.71,73.45,26.19,0.18,95
12230,185.97,41,23,31,22,44.67,66.3,74.99,0.44,95
12231,178.93,41,23,31,22,44.68,76.82,57.43,0.19,95
12232,127.31,41,23,31,22,44.62,55.8,26.88,0.24,95
12233,129.57,41,23,31,22,44.64,52.84,32.09,0.29,95
12234,174.44,41,23,31,22,44.65,67.87,61.92,0.27,95
12235,136.09,41,23,31,22,44.7,62.85,28.54,0.32,95
12236,140.06,41,23,31,22,44.62,70.7,24.74,0.16,95
12237,148.82,41,23,31,22,44.7,73.33,30.8,0.54,95
12238,133.53,41,23,31,22,44.65,61.97,26.91,0.34,95
12239,151.22,41,23,31,22,44.64,77.95,28.63,0.36,95
12240,140.81,41,23,31,22,44.74,70.18,25.89,0.48,95
12241,143.97,41,23,31,22,44.64,72.32,27.01,0.59,95
12242,140.26,41,23,31,22,44.66,68.36,27.24,0.23,95
12243,144.41,41,23,31,22,44.65,70.76,28.99,0.52,95
12244,141.08,41,23,31,22,44.7,68.42,27.96,0.52,95
12245,176.28,41,23,31,22,44.66,63.18,68.44,0.36,95
12246,139.71,41,23,31,22,44.65,67.54,27.52,0.62,95
12247,137.74,41,23,31,22,44.7,67.59,25.45,0.33,95
12248,137.53,41,23,31,22,44.73,67.77,25.04,0.17,95
12249,136.79,41,23,31,22,44.7,62.98,29.11,0.4,95
12250,144.54,41,23,31,22,44.67,65.96,33.91,0.47,95
12251,146.25,41,23,31,22,44.69,69.16,32.4,0.33,95
12252,135.2,41,23,31,22,44.62,62.37,28.21,0.15,95
12253,131.18,41,23,31,22,44.68,63.95,22.54,0.21,95
12254,138.33,41,23,31,22,44.62,69.11,24.59,0.48,95
12255,124.12,41,23,31,22,44.7,53.61,25.82,0.32,95
12256,139.12,41,23,31,22,44.65,70.41,24.07,0.24,95
12257,142.64,41,23,31,22,44.64,68.82,29.18,0.41,95
12258,142.8,41,23,31,22,44.62,68.73,29.45,0.45,95
12259,137.75,41,23,31,22,44.67,69.53,23.56,0.49,95
12260,138.33,41,23,31,22,44.71,63.93,29.69,0.4,95
12261,131.19,41,23,31,22,44.66,63.44,23.09,0.42,95
12262,131.79,41,23,31,22,44.75,60.84,26.2,0.34,95
12263,143.34,41,23,31,22,44.71,65.2,33.43,0.21,95
12264,139.43,41,23,31,22,44.62,64.09,30.72,0.56,95
12265,140.54,41,23,31,22,44.7,67.28,28.56,0.43,95
12266,135.99,41,23,31,22,44.66,61.9,29.42,0.37,95
12267,143.17,41,23,31,22,44.63,65.85,32.7,0.13,95
12268,134.01,41,23,31,22,44.68,65.28,24.05,0.36,95
12269,138.05,41,23,31,22,44.69,65.5,27.85,0.41,95
12270,148.41,41,23,31,22,44.59,78.63,25.18,0.35,95
12271,145.76,41,23,31,22,44.69,72.85,28.23,0.33,95
12272,139.88,41,23,31,22,44.74,66.62,28.51,0.18,95
12273,143.42,41,23,31,22,44.62,70.87,27.92,0.35,95
12274,134.1,41,23,31,22,44.74,63.07,26.29,0.56,95
12275,189.65,41,23,31,22,44.67,70.18,74.81,0.21,95
12276,134.4,41,23,31,22,44.61,64.17,25.62,0.28,95
12277,157.99,41,23,31,22,44.62,83.82,29.55,0.31,95
12278,148.02,41,23,31,22,44.71,72.6,30.71,0.13,95
12279,147.28,41,23,31,22,44.69,76.25,26.33,0.21,95
12280,142.59,41,23,31,22,44.71,68.91,28.97,0.36,95
12281,139.72,41,23,31,22,44.71,63.75,31.27,0.39,95
12282,183.82,41,23,31,22,44.68,67.83,71.31,0.26,95
12283,139.73,41,23,31,22,44.68,66.41,28.65,0.23,95
12284,179.67,41,23,31,22,44.68,68.64,66.35,0.43,95
12285,135.86,41,23,31,22,44.68,64.65,26.54,0.55,95
12286,141.52,41,23,31,22,44.68,66.15,30.68,0.49,95
12287,149.84,41,23,31,22,44.69,77.64,27.51,0.53,95
12288,144.39,41,23,31,22,44.73,68.71,30.95,0.24,95
12289,171.74,41,23,31,22,44.7,67.46,59.58,0.48,95
12290,140.19,41,23,31,22,44.74,68.2,27.25,0.23,95
12291,146.23,41,23,31,22,44.62,69.8,31.8,0.24,95
12292,174.19,41,23,31,22,44.65,60.08,69.46,0.32,95
12293,173.44,41,23,31,22,44.71,68.67,60.07,0.37,95
12294,185.02,41,23,31,22,44.65,65.18,75.19,0.28,95
12295,147.01,41,23,31,22,44.64,71.64,30.73,0.27,95
12296,129.06,41,23,31,22,44.68,58.9,25.48,0.17,95
12297,138.77,41,23,31,22,44.67,65.2,28.9,0.26,95
12298,130.03,41,23,31,22,44.67,54.39,30.96,0.3,95
12299,155.47,41,23,31,22,44.69,83.49,27.28,0.12,95
12300,141.47,41,23,31,22,44.62,69.46,27.38,0.33,95
12301,139.69,41,23,31,22,44.64,71.83,23.21,0.36,95
12302,148.04,41,23,31,22,44.66,74.71,28.67,0.25,95
12303,144.59,41,23,31,22,44.69,71.49,28.41,0.34,95
12304,135.37,41,23,31,22,44.68,64.71,25.98,0.25,95
12305,142.74,41,23,31,22,44.7,70.55,27.5,0.32,95
12306,150.57,41,23,31,22,44.56,70.19,35.82,0.16,95
12307,147.74,41,23,31,22,44.7,78.33,24.72,0.3,95
12308,134.52,41,23,31,22,44.69,60.75,29.08,0.24,95
12309,149.28,41,23,31,22,44.65,67.29,37.34,0.38,95
12310,183.98,41,23,31,22,44.68,69.77,69.53,0.22,95
12311,145.39,41,23,31,22,44.62,66.83,33.94,0.27,95
12312,143.2,41,23,31,22,44.63,68.63,29.94,0.28,95
12313,173.28,41,23,31,22,44.73,69.86,58.68,0.47,95
12314,138.59,41,23,31,22,44.65,65.54,28.4,0.14,95
12315,185.15,41,23,31,22,44.67,70.96,69.51,0.31,95
12316,137.95,41,23,31,22,44.59,62.39,30.97,0.22,95
12317,139.71,41,23,31,22,44.75,70.26,24.7,0.27,95
12318,155.54,41,23,31,22,44.63,82.9,28.01,0.39,95
12319,147.95,41,23,31,22,44.62,73.83,29.5,0.12,95
12320,157.17,41,23,31,22,44.73,83.55,28.89,0.33,95
12321,134.8,41,23,31,22,44.71,63.83,26.26,0.22,95
12322,184.82,41,23,31,22,44.71,76.69,63.42,0.24,95
12323,140.15,41,23,31,22,44.73,64.09,31.34,0.23,95
12324,142.04,41,23,31,22,44.69,74.94,22.41,0.12,95
12325,155.13,41,23,31,22,44.74,76.97,33.42,0.07,95
12326,142.1,41,23,31,22,44.8,65.88,31.42,0.26,95
12327,148.16,41,23,31,22,44.64,78.51,25.01,0.58,95
12328,151.89,41,23,31,22,44.65,81.45,25.8,0.22,95
12329,154.5,41,23,31,22,44.67,84.63,25.2,0.28,95
12330,156.41,41,23,31,22,44.63,75.99,35.79,0.7,95
12331,148.53,41,23,31,22,44.68,72.02,31.82,0.39,95
12332,143.88,41,23,31,22,44.64,67.49,31.75,0.33,95
12333,135.15,41,23,31,22,44.59,63.37,27.19,0.47,95
12334,150.92,41,23,31,22,44.54,70.19,36.19,0.26,95
12335,152.24,41,23,31,22,44.65,75.86,31.73,0.52,95
12336,186.7,41,23,31,22,44.65,66.41,75.64,0.55,95
12337,139.34,41,23,31,22,44.63,66.43,28.28,0.27,95
12338,143.21,41,23,31,22,44.6,70.32,28.3,0.28,95
12339,149.79,41,23,31,22,44.71,74.98,30.1,0.15,95
12340,140.06,41,23,31,22,44.69,68.49,26.88,0.42,95
12341,135.61,41,23,31,22,44.73,68.26,22.63,0.22,95
12342,140.58,41,23,31,22,44.62,67.63,28.34,0.35,95
12343,131.65,41,23,31,22,44.66,61.47,25.51,0.39,95
12344,151.28,41,23,31,22,44.7,71.01,35.57,0.14,95
12345,136.18,41,23,31,22,44.6,61.74,29.85,0.4,95
12346,128.5,41,23,31,22,44.67,58.72,25.12,0.09,95
12347,137.3,41,23,31,22,44.71,64.17,28.42,0.51,95
12348,141.83,41,23,31,22,44.63,65.83,31.37,0.5,95
12349,147.87,41,23,31,22,44.61,74.89,28.36,0.48,95
12350,142.51,41,23,31,22,44.69,71.83,25.99,0.2,95
12351,139.42,41,23,31,22,44.62,66.07,28.73,0.37,95
12352,196.77,41,23,31,22,44.72,77.41,74.64,0.53,95
12353,138.09,41,23,31,22,44.6,69.13,24.37,0.27,95
12354,142.68,41,23,31,22,44.73,66.3,31.65,0.4,95
12355,134.1,41,23,31,22,44.68,59.98,29.43,0.58,95
12356,146.11,41,23,31,22,44.6,74.43,27.08,0.25,95
12357,158.76,41,23,31,22,44.66,59.22,54.88,0.19,95
12358,138.09,41,23,31,22,44.67,65.5,27.92,0.16,95
12359,127.16,41,23,31,22,44.7,58.03,24.43,0.25,95
12360,182.18,41,23,31,22,44.66,61.76,75.76,0.27,95
12361,161.67,41,23,31,22,44.74,51.83,65.1,0.78,95
12362,199.87,41,23,31,22,44.72,83.91,71.25,0.25,95
12363,145.93,41,23,31,22,44.63,68.66,32.64,0.24,95
12364,134.74,41,23,31,22,44.74,62.65,27.35,0.4,95
12365,145.06,41,23,31,22,44.66,71.28,29.12,0.58,95
12366,134.14,41,23,31,22,44.67,60.28,29.19,0.38,95
12367,177.25,41,23,31,22,44.63,71.48,61.13,0.33,95
12368,139.22,41,23,31,22,44.63,67.38,27.21,0.19,95
12369,129.57,41,23,31,22,44.71,50.61,34.25,0.38,95
12370,142.35,41,23,31,22,44.67,64.26,33.42,0.37,95
12371,162.95,41,23,31,22,44.63,64.49,53.84,0.19,95
12372,158.74,41,23,31,22,44.67,80.21,33.86,0.4,95
12373,143.29,41,23,31,22,44.72,69.9,28.67,0.37,95
12374,144.2,41,23,31,22,44.63,72.83,26.74,0.4,95
12375,156.07,41,23,31,22,44.67,72.25,39.15,0.44,95
12376,140.37,41,23,31,22,44.66,64.71,30.99,0.35,95
12377,189.42,41,23,31,22,44.62,71.71,73.09,0.25,95
12378,140.9,41,23,31,22,44.64,71.28,24.98,0.35,95
12379,186.47,41,23,31,22,44.72,70.86,70.88,0.19,95
12380,183.07,41,23,31,22,44.63,63.97,74.47,0.2,95
12381,137.44,41,23,31,22,44.66,65.67,27.11,0.51,95
12382,136.68,41,23,31,22,44.62,64.35,27.72,0.54,95
12383,142.1,41,23,31,22,44.72,72.63,24.76,0.31,95
12384,137.24,41,23,31,22,44.69,67.57,24.98,0.1,95
12385,150.9,41,23,31,22,44.61,73.2,33.1,0.36,95
12386,145.61,41,23,31,22,44.69,68.61,32.31,0.21,95
12387,140.26,41,23,31,22,44.68,63.21,32.37,0.32,95
12388,142.18,41,23,31,22,44.59,72.76,24.83,0.33,95
12389,125.47,41,23,31,22,44.66,54.23,26.57,0.18,95
12390,135.26,41,23,31,22,44.62,59.81,30.83,0.23,95
12391,125.58,41,23,31,22,44.64,54.99,25.95,0.42,95
12392,135.99,41,23,31,22,44.62,65.81,25.56,0.37,95
12393,139.03,41,23,31,22,44.65,60.33,34.05,0.46,95
12394,157.23,41,23,31,22,44.64,85.7,26.89,0.19,95
12395,182.12,41,23,31,22,44.69,60.26,77.16,0.16,95
12396,143.25,41,23,31,22,44.63,69.74,28.88,0.4,95
12397,134.79,41,23,31,22,44.66,63.19,26.94,0.57,95
12398,131.4,41,23,31,22,44.64,65.21,21.55,0.38,95
12399,137.29,41,23,31,22,44.69,58.58,34.01,0.42,95
12400,139.76,41,23,31,22,44.59,63.67,31.49,0.19,95
12401,145.27,41,23,31,22,44.66,75.91,24.7,0.33,95
12402,126.65,41,23,31,22,44.67,54.97,27.01,0.26,95
12403,183.05,41,23,31,22,44.7,69.27,69.08,0.24,95
12404,146.08,41,23,31,22,44.72,73.94,27.41,0.19,95
12405,146.03,41,23,31,22,44.66,70.86,30.51,0.36,95
12406,135.32,41,23,31,22,44.64,62.43,28.25,0.41,95
12407,142.15,41,23,31,22,44.72,73.62,23.81,0.16,95
12408,141.04,41,23,31,22,44.66,66.92,29.46,0.21,95
12409,133.28,41,23,31,22,44.69,61.83,26.76,0.15,95
12410,135.89,41,23,31,22,44.72,60.64,30.54,0.22,95
12411,153.26,41,23,31,22,44.7,78.99,29.57,0.56,95
12412,178.61,41,23,31,22,44.67,63.47,70.47,0.4,95
12413,120.97,41,23,31,22,44.56,54.37,22.04,0.17,95
