Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
5462,110.48,90,38,47,47,31.99,59.82,18.67,0.48,175
5463,158.02,90,38,47,47,32.19,59.23,66.59,0.41,175
5464,118.32,91,38,47,47,32.08,57.2,29.04,0.35,176
5465,165.55,90,38,47,47,32.02,67.36,66.17,0.24,175
5466,115.19,90,38,47,47,31.82,61.4,21.98,0.49,175
5467,112.68,90,38,47,47,31.82,59.82,21.04,0.15,175
5468,119.06,90,38,47,47,31.81,61.96,25.29,0.1,175
5469,116.33,91,38,47,47,31.99,60.39,23.95,0.37,176
5470,124.83,90,38,47,47,31.98,68.64,24.21,0.22,175
5471,111.29,89,38,47,46,31.9,56.31,23.08,0.29,174
5472,115.1,89,38,47,46,31.99,51.4,31.71,0.22,174
5473,132.52,88,38,47,46,31.91,67.49,33.11,0.46,173
5474,126.86,88,38,47,46,32.36,62.74,31.76,0.41,173
5475,172.79,89,38,47,47,32.2,65.38,75.22,0.36,174
5476,112.7,89,38,47,47,32.12,60.27,20.31,0.37,174
5477,111.81,88,38,47,47,32.3,53.09,26.42,0.23,173
5478,163.69,89,38,47,47,32.29,78.54,52.86,0.3,174
5479,128.63,89,38,47,47,32.12,73.01,23.51,0.36,174
5480,130.79,89,38,47,47,32.24,75.4,23.15,0.38,174
5481,129.2,89,38,47,46,32.32,71.7,25.18,0.51,174
5482,128.94,88,38,47,46,32.28,73.63,23.03,0.28,173
5483,113.99,88,38,47,46,32.12,60.39,21.48,0.55,173
5484,135.84,88,38,47,47,32.01,79.81,24.01,0.33,173
5485,123.42,89,38,47,47,32.07,65.86,25.48,0.22,174
5486,124.57,89,38,47,46,32.88,65.02,26.68,0.56,174
5487,112.22,88,38,48,46,33.34,53.17,25.72,0.27,174
5488,108.65,89,38,48,47,32.82,51.27,24.55,0.3,175
5489,100.42,89,38,48,47,33.34,42.8,24.27,0.16,175
