Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
2590,127.85,157,62,29.69,71.24,26.92,0.17
2591,157.39,157,62,29.75,66.65,61,0.25
2592,131.93,157,62,29.73,73.46,28.73,0.62
2593,125.08,156,63,29.65,66.1,29.33,0.8
2594,108.02,155,63,29.88,47.18,30.96,0.63
2595,119.91,156,62,29.77,61.5,28.65,0.6
2596,126.77,156,63,29.88,67.02,29.87,0.72
2597,153.26,156,62,29.88,52.3,71.09,0.63
2598,112.21,155,63,29.85,54.56,27.8,0.81
2599,132.62,155,62,29.84,72.51,30.27,0.7
2600,129.21,156,64,29.83,72.56,26.82,0.53
2601,122.13,156,64,29.81,62.39,29.93,0.33
2602,169.23,156,64,29.85,57.82,81.57,0.03
2603,131.24,156,64,29.88,57.09,44.27,0.51
2604,125.94,156,64,29.88,71.32,24.74,0.39
2605,147.93,156,64,29.92,57.89,60.12,0.8
2606,137.16,156,64,29.86,70.44,36.86,0.51
2607,128.89,156,64,29.96,72.28,26.65,0.32
2608,134.75,156,64,29.83,67.64,37.28,0.56
2609,129,156,64,29.88,69.28,29.84,0.22
2610,159.39,156,63,30.08,69.76,59.55,0.78
2611,118.79,155,63,30.08,60.3,28.41,0.24
2612,128.96,155,63,30.05,60.33,38.57,0.05
2613,120.92,155,63,30.06,63.77,27.09,0.35
2614,121.42,155,63,30.03,64.5,26.89,0.6
2615,152.65,156,63,29.96,63.52,59.17,0.71
2616,149.97,156,63,29.69,63.45,56.84,0.24
2617,132.23,156,63,29.84,73.64,28.75,0.36
2618,121.91,156,63,30.02,64.71,27.18,0.46
2619,125.13,156,62,30.01,70.88,24.24,0.11
2620,125.59,156,62,30.01,68.11,27.47,0.58
2621,129.36,155,62,29.59,70.49,29.28,0.96
2622,150.57,155,62,29.78,62.6,58.19,0.56
2623,132.27,156,63,29.58,71.48,31.21,0.61
2624,128.45,155,62,29.64,67.47,31.34,0.46
2625,122.36,154,62,29.63,65.71,27.01,0.08
2626,122.1,155,63,29.62,63.8,28.68,0.47
2627,123.5,155,63,29.82,68.39,25.28,0.17
2628,126.08,155,63,29.81,70.22,26.05,0.07
2629,163.33,155,63,29.94,76.48,56.91,0.21
2630,157.46,155,63,29.88,63.61,63.97,0.52
2631,128,155,62,30.22,71.44,26.33,0.7
2632,120.36,156,62,30.36,66.06,23.94,0.74
2633,146.45,156,62,30.36,61.57,54.52,0.56
2634,126.38,156,61,30.32,70.39,25.68,0.27
2635,117.86,156,62,30.35,60.55,26.96,0.26
2636,150.04,156,62,30.38,62.04,57.62,0.24
2637,109.06,156,62,30.33,53.12,25.61,0.14
2638,122.67,155,62,30.14,65.82,26.7,0.62
2639,107.15,155,63,29.84,48.69,28.62,1
2640,138.06,155,63,29.86,75.9,32.29,0.24
2641,119.11,155,63,30.29,60.6,28.22,0.28
2642,124.58,155,62,30.21,66.98,27.38,0.32
2643,132.03,155,63,30.53,69.31,32.2,0.35
2644,137.87,154,63,30.2,79.27,28.4,0.75
2645,166.43,155,62,30.86,71.56,64,0.49
2646,161.1,154,62,30.56,71.78,58.76,0.38
2647,128.95,154,62,30.51,68.72,29.72,0.18
2648,124.35,156,62,30.56,70.39,23.4,0.37
2649,122.43,156,62,30.55,65.4,26.47,0.44
2650,138.37,156,62,30.5,79.57,28.31,0.32
2651,134.59,156,62,30.55,70.52,33.52,0.74
2652,115.42,154,62,30.61,54.28,30.52,0.38
2653,121.99,156,62,30.55,67.4,24.05,0.41
2654,113.77,155,62,30.57,57.8,25.4,0.32
2655,119.68,154,62,30.58,63.85,25.25,0.22
2656,132.48,155,62,30.58,72.65,29.25,0.38
2657,120.46,156,62,30.84,65.95,23.66,0.51
2658,111.83,154,63,30.88,57.33,23.62,0.72
2659,170.09,154,62,30.41,61.69,77.98,1
2660,117.63,154,61,30.73,56.82,30.08,0.79
2661,127.13,154,62,30.33,71.67,25.13,0.36
2662,113.09,155,62,30.72,59.29,23.08,0.47
2663,131.01,155,62,30.77,72.43,27.81,0.11
2664,122.19,154,62,30.77,62.99,28.43,0.5
2665,121.67,154,62,31.01,65.63,25.03,0.19
2666,127.19,155,62,30.32,71.39,25.48,0.61
2667,134.33,154,62,30.78,70.89,32.65,0.66
2668,125.34,156,62,30.76,63.74,30.84,0.81
2669,115.51,156,61,30.76,58.87,25.88,0.35
2670,135.22,156,61,30.72,80.31,24.2,0.05
2671,162.56,156,61,30.69,62.15,69.72,0.73
2672,148.58,155,61,30.72,65.44,52.41,0.65
2673,149.91,155,61,30.73,60.7,58.48,0.39
2674,112.42,155,61,30.7,52.19,29.53,0.36
2675,129.61,156,61,30.34,69.42,29.85,0.65
2676,118.33,155,61,30.15,61.08,27.09,0.59
2677,119.19,156,62,30.12,62.36,26.71,0.91
2678,117.83,156,62,30.26,66.03,21.54,0.33
2679,123.95,155,61,30.11,63.19,30.65,0.62
2680,128.04,157,61,30.11,71.55,26.39,0.09
2681,124.97,156,61,30.14,65.18,29.65,0.52
2682,125.9,156,61,30.2,67.15,28.54,0.13
2683,179.79,156,61,30.29,73.18,76.32,0.51
2684,147.1,156,61,30.27,86.88,29.95,0.04
2685,108.73,155,62,30.12,51.07,27.54,0.75
2686,128.9,154,62,30.54,71.24,27.12,0.41
2687,124,154,61,30.82,65.34,27.83,0.52
2688,121.65,155,62,30.81,65.91,24.93,0.36
2689,120.94,155,62,30.4,64.54,26,0.88
2690,117.42,155,62,30.53,60.2,26.69,0.56
2691,125.44,155,61,30.39,68.42,26.63,0.78
2692,108.74,154,61,30.4,52.27,26.07,0.23
2693,133.46,154,63,30.41,76.43,26.62,0.61
2694,111.13,156,63,30.44,55.4,25.29,0.47
2695,118.75,155,61,30.36,60.2,28.19,0.81
2696,117.95,155,62,29.97,62.88,25.1,0.41
2697,125.8,154,62,29.84,68.76,27.2,0.62
2698,121.46,153,61,29.85,66.06,25.54,0.59
2699,165.16,153,61,30.27,68.08,66.81,0.97
2700,130.77,154,61,29.92,69.38,31.48,0.4
2701,151.53,155,61,29.92,67,54.61,0.19
2702,134.82,155,61,30.37,77.63,26.82,0.5
2703,145.13,155,61,30.35,80.62,34.16,0.99
2704,112.15,156,61,30.18,57.06,24.92,1
2705,118.57,155,61,29.88,65.58,23.11,0.63
