Objective 1,Objective 2,Objective 3
667.5570352266667,537,175
175.22276263666666,608,189
351.67487617,555,185
859.62224439,555,171
269.04013939666663,604,165
348.658475835,557,162
151.95250142666666,595,192
680.3200784183333,589,148
187.02159273166666,564,192
361.13374059166665,558,197
696.5722197933334,583,150
968.0427138416667,554,154
626.8982913866666,537,176
119.22464056166666,636,212
859.3868787383333,618,156
263.51962982333333,583,155
574.76285165,546,158
131.14386795333334,600,186
154.63339616166667,625,167
283.0147314083334,581,182
329.61589133,556,175
183.66712801666668,588,174
1025.00140488,560,169
1118.263610955,561,166
225.027295455,570,194
287.7441836483333,548,188
112.65340852166668,632,200
143.46006040333333,668,204
137.44736494333333,621,205
544.3386694466667,533,165
434.9197965266667,578,162
134.44873410833333,663,204
1258.0174028033334,557,154
1425.53426743,519,184
622.7805249766667,574,153
218.75841664833334,565,177
170.99841094166666,574,174
460.1103187983333,558,198
146.77750112666666,621,237
109.99517026666666,639,197
132.81638395666667,679,212
132.67251953,627,177
122.14595285000001,623,191
135.47350219166668,648,202
210.19913587333332,615,161
297.44016710833336,589,193
113.03370858166666,707,237
107.37706019666666,669,243
1493.1281115083332,564,153
150.35829193666666,627,199
145.35567032833333,627,188
151.39205626166665,678,224
1064.5160898483334,563,154
124.86707249333334,621,187
710.37652016,545,169
569.7924204283333,531,169
113.45703462333333,666,229
462.69051047833335,539,198
426.48167946499996,538,207
104.87951990166667,691,300
325.99419782833337,535,203
134.57003017333332,688,281
498.34854130166667,566,155
485.02017617499996,612,158
135.64211293333335,611,228
148.658513575,603,231
292.04207118333335,566,215
1211.7968561516666,546,155
440.30974235,618,188
354.6355081433333,543,182
328.24113762999997,555,160
276.18391276166665,548,183
604.4170172533333,555,162
365.24493464833336,558,200
990.7582224483334,534,161
422.8701329333333,544,174
273.6222395016667,565,178
188.398991875,595,190
1009.2524272583332,561,165
911.642098425,553,172
926.187997735,553,160
116.80219321333333,660,217
497.60322598666664,555,200
458.27698108000004,550,207
1160.8419167066668,546,179
602.9218167433334,535,196
98.91200226166667,678,192
300.1098698233333,538,204
145.40002765833333,550,201
165.0375192633333,584,219
369.1556819566667,569,171
432.74877326333336,583,173
437.34928256333336,562,169
206.58749351333333,592,183
344.37130756333335,567,172
280.7687009166667,549,174
134.81888173833335,627,174
549.9846796816666,587,159
724.9269660283334,539,167
265.03904333833333,554,183
349.2691492783334,554,170
523.00901773,561,167
278.0658983933333,547,185
260.28365461,545,187
386.050749575,524,178
296.4016222133334,561,202
131.78454640500001,734,286
184.66057454666668,707,257
149.09946739333333,583,185
124.10464403166667,617,194
512.792814795,541,202
600.5651927116667,543,164
406.35445294833335,557,168
257.00509664000003,638,161
107.89965242000001,660,240
534.710700895,548,192
192.00513637166665,547,191
227.33698783166665,545,193
192.78586528333335,538,198
283.50076730333336,566,204
174.717390625,567,199
120.47937228166666,621,201
286.4802033816667,551,207
