Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
138.00 ,157.15 ,325.00 ,122.00 ,130.00 ,202.00 ,27.80 ,61.71 ,67.63 ,0.68 ,
139.00 ,111.00 ,328.00 ,123.00 ,130.00 ,202.00 ,27.79 ,61.12 ,22.09 ,0.51 ,
140.00 ,92.83 ,327.00 ,123.00 ,130.00 ,202.00 ,27.81 ,42.42 ,22.61 ,0.33 ,
141.00 ,113.31 ,328.00 ,122.00 ,129.00 ,202.00 ,27.79 ,63.36 ,22.16 ,0.18 ,
142.00 ,113.56 ,326.00 ,121.00 ,129.00 ,203.00 ,27.75 ,63.38 ,22.43 ,0.52 ,
143.00 ,141.45 ,326.00 ,121.00 ,130.00 ,200.00 ,27.90 ,64.19 ,49.36 ,0.53 ,
144.00 ,103.92 ,324.00 ,122.00 ,129.00 ,201.00 ,27.87 ,54.92 ,21.13 ,0.34 ,
145.00 ,101.44 ,326.00 ,122.00 ,128.00 ,200.00 ,27.89 ,56.15 ,17.41 ,0.25 ,
146.00 ,127.55 ,325.00 ,121.00 ,128.00 ,201.00 ,27.89 ,49.47 ,50.19 ,0.54 ,
147.00 ,99.09 ,327.00 ,121.00 ,127.00 ,201.00 ,27.91 ,50.97 ,20.21 ,0.15 ,
148.00 ,108.07 ,326.00 ,121.00 ,128.00 ,201.00 ,27.85 ,61.32 ,18.90 ,0.43 ,
149.00 ,100.50 ,324.00 ,120.00 ,128.00 ,200.00 ,27.85 ,52.19 ,20.47 ,0.21 ,
150.00 ,137.40 ,325.00 ,120.00 ,128.00 ,201.00 ,27.85 ,57.05 ,52.49 ,0.13 ,
151.00 ,111.49 ,323.00 ,121.00 ,126.00 ,199.00 ,27.88 ,63.75 ,19.85 ,0.36 ,
152.00 ,112.66 ,325.00 ,122.00 ,127.00 ,199.00 ,27.95 ,62.50 ,22.21 ,0.48 ,
153.00 ,118.81 ,327.00 ,121.00 ,127.00 ,199.00 ,27.94 ,68.03 ,22.85 ,0.38 ,
154.00 ,95.74 ,327.00 ,121.00 ,127.00 ,198.00 ,27.89 ,47.96 ,19.89 ,0.36 ,
155.00 ,110.08 ,324.00 ,121.00 ,127.00 ,195.00 ,27.87 ,59.85 ,22.36 ,0.40 ,
156.00 ,140.31 ,326.00 ,121.00 ,127.00 ,196.00 ,27.84 ,62.62 ,49.85 ,0.16 ,
157.00 ,113.07 ,324.00 ,120.00 ,127.00 ,196.00 ,27.86 ,64.24 ,20.96 ,0.34 ,
158.00 ,115.56 ,325.00 ,120.00 ,127.00 ,196.00 ,27.88 ,67.99 ,19.70 ,0.47 ,
159.00 ,105.63 ,324.00 ,119.00 ,126.00 ,196.00 ,27.86 ,55.65 ,22.12 ,0.54 ,
160.00 ,128.48 ,322.00 ,120.00 ,126.00 ,196.00 ,27.82 ,56.94 ,43.72 ,0.36 ,
161.00 ,110.08 ,321.00 ,119.00 ,125.00 ,195.00 ,27.83 ,60.55 ,21.71 ,0.44 ,
162.00 ,139.50 ,321.00 ,120.00 ,127.00 ,194.00 ,27.83 ,45.95 ,65.72 ,0.20 ,
163.00 ,116.87 ,321.00 ,119.00 ,125.00 ,195.00 ,27.78 ,66.64 ,22.45 ,0.39 ,
164.00 ,148.42 ,320.00 ,118.00 ,125.00 ,194.00 ,27.78 ,54.00 ,66.64 ,0.18 ,
165.00 ,105.52 ,322.00 ,118.00 ,126.00 ,192.00 ,27.81 ,58.78 ,18.93 ,0.33 ,
166.00 ,98.64 ,322.00 ,118.00 ,125.00 ,192.00 ,27.81 ,47.53 ,23.30 ,0.27 ,
167.00 ,119.36 ,320.00 ,118.00 ,125.00 ,192.00 ,27.82 ,60.55 ,30.98 ,0.37 ,
168.00 ,115.71 ,319.00 ,117.00 ,125.00 ,192.00 ,27.83 ,66.02 ,21.86 ,0.31 ,
169.00 ,136.23 ,324.00 ,117.00 ,126.00 ,192.00 ,27.77 ,54.82 ,53.64 ,0.59 ,
170.00 ,107.66 ,324.00 ,117.00 ,126.00 ,192.00 ,27.71 ,60.48 ,19.47 ,0.29 ,
171.00 ,113.90 ,323.00 ,117.00 ,125.00 ,192.00 ,27.73 ,65.39 ,20.78 ,0.48 ,
172.00 ,124.47 ,323.00 ,116.00 ,127.00 ,194.00 ,27.76 ,57.68 ,39.03 ,0.53 ,
